Lake,Habitat,Site,Observation,Dry weight,SLA,LDMC
Lower_Lake,Roadside,1,1,2.411,10895.06429,0.807705193
Lower_Lake,Roadside,1,2,4.445,6885.714286,0.844414894
Lower_Lake,Roadside,1,3,2.229,7480.484522,0.838600451
Lower_Lake,Roadside,1,4,2.263,15083.95935,0.738577023
Lower_Lake,Roadside,1,5,2.207,4652.922519,0.881037924
Lower_Lake,Roadside,1,6,2.186,3583.714547,0.907807309
Lower_Lake,Roadside,1,7,2.064,7128.391473,0.856787049
Lower_Lake,Roadside,1,8,2.399,5423.509796,0.885239852
Lower_Lake,Roadside,1,9,2.234,3370.188004,0.924286305
Lower_Lake,Roadside,1,10,2.229,3318.528488,0.896981891
Lower_Lake,Roadside,2,1,4.679,9128.018807,0.823043096
Lower_Lake,Roadside,2,2,2.701,10211.03295,0.804347826
Lower_Lake,Roadside,2,3,1.819,11434.85432,0.764928511
Lower_Lake,Roadside,2,4,1.835,6432.697548,0.873393622
Lower_Lake,Roadside,2,5,4.559,8040.579074,0.83944025
Lower_Lake,Roadside,2,6,2.119,7474.752242,0.875981811
Lower_Lake,Roadside,2,7,2.296,7124.12892,0.87834736
Lower_Lake,Roadside,2,8,2.338,5868.263473,0.891006098
Lower_Lake,Roadside,2,9,2.161,5338.732068,0.879170057
Lower_Lake,Roadside,2,10,1.781,4014.59854,0.895424837
Lower_Lake,Roadside,3,1,2.76,10232.6087,0.807962529
Lower_Lake,Roadside,3,2,5.269,5625.545644,0.851349168
Lower_Lake,Roadside,3,3,2.674,9094.614809,0.810548651
Lower_Lake,Roadside,3,4,5.298,6822.197055,0.805044826
Lower_Lake,Roadside,3,5,5.128,6766.380655,0.830983633
Lower_Lake,Roadside,3,6,5.235,5280.038204,0.85553195
Lower_Lake,Roadside,3,7,2.745,13742.8051,0.706563707
Lower_Lake,Roadside,3,8,2.782,12412.65277,0.741076185
Lower_Lake,Roadside,3,9,2.765,4478.481013,0.892799483
Lower_Lake,Roadside,3,10,5.332,6488.372093,1.126558208
Lower_Lake,Abandoned,1,1,4.413,7719.01201,0.856062076
Lower_Lake,Abandoned,1,2,4.289,4915.364887,0.878893443
Lower_Lake,Abandoned,1,3,4.514,9009.968985,0.831154484
Lower_Lake,Abandoned,1,4,4.334,6404.476234,0.86784141
Lower_Lake,Abandoned,1,5,2.602,6349.730976,0.871108135
Lower_Lake,Abandoned,1,6,2.598,8282.525019,0.844603381
Lower_Lake,Abandoned,1,7,1.832,6473.799127,0.861307005
Lower_Lake,Abandoned,1,8,4.437,4659.679964,0.710488391
Lower_Lake,Abandoned,1,9,4.41,8124.263039,0.876913899
Lower_Lake,Abandoned,1,10,4.436,5156.221821,0.892914654
Lower_Lake,Abandoned,2,1,4.467,6826.953212,0.883330038
Lower_Lake,Abandoned,2,2,3.789,8875.956717,0.717070401
Lower_Lake,Abandoned,2,3,2.293,10997.81945,0.811681416
Lower_Lake,Abandoned,2,4,4.471,6055.468575,0.865969398
Lower_Lake,Abandoned,2,5,2.224,4376.348921,0.894250101
Lower_Lake,Abandoned,2,6,2.225,4583.820225,0.896454472
Lower_Lake,Abandoned,2,7,4.489,6646.24638,0.866435051
Lower_Lake,Abandoned,2,8,2.301,5813.124728,0.867320015
Lower_Lake,Abandoned,2,9,4.405,3600.45403,0.908997111
Lower_Lake,Abandoned,2,10,1.839,2021.207178,0.938265306
Lower_Lake,Abandoned,3,1,5.3,8812.45283,0.859134382
Lower_Lake,Abandoned,3,2,5.29,7182.041588,0.867924528
Lower_Lake,Abandoned,3,3,2.579,5716.169058,0.871872887
Lower_Lake,Abandoned,3,4,2.628,4911.339422,0.871930989
Lower_Lake,Abandoned,3,5,5.358,7715.752146,0.832246039
Lower_Lake,Abandoned,3,6,5.189,5340.913471,0.864977496
Lower_Lake,Abandoned,3,7,2.623,5872.283645,0.877257525
Lower_Lake,Abandoned,3,8,2.624,5341.844512,0.873211314
Lower_Lake,Abandoned,3,9,5.17,4997.678917,0.904004197
Lower_Lake,Abandoned,3,10,5.31,4349.340866,0.907847495
Lower_Lake,Natural,1,1,2.273,4919.489661,0.890673981
Lower_Lake,Natural,1,2,2.186,5891.5828,0.87405038
Lower_Lake,Natural,1,3,2.261,4994.692614,0.871626831
Lower_Lake,Natural,1,4,2.044,7427.103718,0.84184514
Lower_Lake,Natural,1,5,4.553,8934.768285,0.845810886
Lower_Lake,Natural,1,6,2.044,1323.874755,0.882937365
Lower_Lake,Natural,1,7,2.087,8915.668424,0.423498377
Lower_Lake,Natural,1,8,2.185,6059.038902,0.868441971
Lower_Lake,Natural,1,9,4.478,7855.962483,0.854906453
Lower_Lake,Natural,1,10,2.232,9144.713262,0.81430135
Lower_Lake,Natural,2,1,2.806,10941.55381,0.814277423
Lower_Lake,Natural,2,2,1.652,4564.164649,0.888172043
Lower_Lake,Natural,2,3,2.238,12956.2109,0.773056995
Lower_Lake,Natural,2,4,2.257,7316.792202,0.867743176
Lower_Lake,Natural,2,5,2.194,5271.194166,0.880770775
Lower_Lake,Natural,2,6,2.358,12675.99661,0.815070861
Lower_Lake,Natural,2,7,2.155,3321.113689,0.906986532
Lower_Lake,Natural,2,8,2.142,5015.873016,0.886956522
Lower_Lake,Natural,2,9,2.214,8258.807588,0.846330275
Lower_Lake,Natural,2,10,2.2,5023.181818,0.898325847
Lower_Lake,Natural,3,1,4.586,8480.375055,0.860735736
Lower_Lake,Natural,3,2,4.47,7386.353468,0.864436279
Lower_Lake,Natural,3,3,4.557,9069.343867,0.848603352
Lower_Lake,Natural,3,4,4.519,6215.313122,0.884690681
Lower_Lake,Natural,3,5,4.508,6749.556344,0.874151639
Lower_Lake,Natural,3,6,2.697,7838.709677,0.544958577
Lower_Lake,Natural,3,7,4.484,5285.682426,0.876980246
Lower_Lake,Natural,3,8,2.686,9434.475056,0.7170315
Lower_Lake,Natural,3,9,4.454,6850.022452,0.875049116
Lower_Lake,Natural,3,10,4.62,8710.17316,0.854764107
Upper_Lake,Roadside,1,1,5.337,5459.434139,0.894119618
Upper_Lake,Roadside,1,2,5.243,4536.906351,0.900394985
Upper_Lake,Roadside,1,3,5.232,4207.568807,0.921451215
Upper_Lake,Roadside,1,4,5.287,4748.250426,0.891568297
Upper_Lake,Roadside,1,5,5.28,4590.151515,0.92469352
Upper_Lake,Roadside,1,6,5.188,4407.093292,0.911775044
Upper_Lake,Roadside,1,7,5.23,4310.516252,0.907986111
Upper_Lake,Roadside,1,8,5.193,3501.829386,0.928980322
Upper_Lake,Roadside,1,9,5.296,3506.41994,0.929122807
Upper_Lake,Roadside,1,10,5.184,790.5092593,0.958225508
Upper_Lake,Roadside,2,1,2.53,2509.486166,0.937037037
Upper_Lake,Roadside,2,2,2.739,4377.144943,0.916973552
Upper_Lake,Roadside,2,3,2.572,2485.225505,0.930535456
Upper_Lake,Roadside,2,4,5.354,3734.404184,0.92294432
Upper_Lake,Roadside,2,5,2.78,2946.043165,0.925740926
Upper_Lake,Roadside,2,6,2.555,2971.037182,0.930783242
Upper_Lake,Roadside,2,7,2.592,1722.222222,0.942545455
Upper_Lake,Roadside,2,8,2.642,1605.601817,0.948994253
Upper_Lake,Roadside,2,9,2.399,376.4068362,0.86512802
Upper_Lake,Roadside,2,10,2.773,3244.500541,0.937774772
Upper_Lake,Roadside,3,1,2.702,7725.388601,0.859688196
Upper_Lake,Roadside,3,2,2.616,2859.70948,0.904251642
Upper_Lake,Roadside,3,3,2.658,6444.69526,0.882763202
Upper_Lake,Roadside,3,4,5.409,9084.119061,0.820789074
Upper_Lake,Roadside,3,5,2.469,4818.955043,0.937357631
Upper_Lake,Roadside,3,6,2.644,7619.13767,0.868593955
Upper_Lake,Roadside,3,7,2.591,4972.211501,0.901217391
Upper_Lake,Roadside,3,8,5.373,5188.349153,0.882410905
Upper_Lake,Roadside,3,9,2.628,4489.726027,0.900616861
Upper_Lake,Roadside,3,10,5.261,5720.965596,0.879471749
Upper_Lake,Abandoned,1,1,2.575,3018.252427,0.913444484
Upper_Lake,Abandoned,1,2,2.652,2342.760181,0.932817446
Upper_Lake,Abandoned,1,3,2.64,3084.848485,0.906593407
Upper_Lake,Abandoned,1,4,2.71,3044.280443,0.906051488
Upper_Lake,Abandoned,1,5,2.549,5346.018046,0.865828804
Upper_Lake,Abandoned,1,6,2.639,3406.972338,0.876453006
Upper_Lake,Abandoned,1,7,2.595,4235.83815,0.894210889
Upper_Lake,Abandoned,1,8,2.53,4216.205534,0.907460545
Upper_Lake,Abandoned,1,9,2.57,2809.727626,0.911670805
Upper_Lake,Abandoned,1,10,2.526,3133.41251,0.922908294
Upper_Lake,Abandoned,2,1,5.117,3840.140707,0.874551359
Upper_Lake,Abandoned,2,2,2.614,5379.877582,0.853411688
Upper_Lake,Abandoned,2,3,5.165,3940.755082,0.877953425
Upper_Lake,Abandoned,2,4,2.61,4540.229885,1.076732673
Upper_Lake,Abandoned,2,5,2.598,4581.601232,1.240095465
Upper_Lake,Abandoned,2,6,2.606,5439.370683,0.833120205
Upper_Lake,Abandoned,2,7,2.649,3844.847112,0.868239921
Upper_Lake,Abandoned,2,8,2.607,3203.682394,0.881040892
Upper_Lake,Abandoned,2,9,2.614,4403.213466,0.864417989
Upper_Lake,Abandoned,2,10,2.598,4969.591994,0.866288763
Upper_Lake,Abandoned,3,1,5.574,10029.60172,0.806540298
Upper_Lake,Abandoned,3,2,2.756,2790.638607,0.925453324
Upper_Lake,Abandoned,3,3,5.412,5353.104213,0.887795276
Upper_Lake,Abandoned,3,4,2.712,6521.386431,0.838849366
Upper_Lake,Abandoned,3,5,5.237,3777.735345,0.913324032
Upper_Lake,Abandoned,3,6,5.203,2281.376129,0.941038162
Upper_Lake,Abandoned,3,7,5.329,2233.627322,0.939196334
Upper_Lake,Abandoned,3,8,5.395,3070.250232,0.930012067
Upper_Lake,Abandoned,3,9,5.282,1787.201817,0.938188277
Upper_Lake,Abandoned,3,10,5.209,1129.007487,0.959653648
Upper_Lake,Natural,1,1,5.234,5426.63355,0.882630691
Upper_Lake,Natural,1,2,5.239,5943.88242,0.794269254
Upper_Lake,Natural,1,3,2.659,6385.107183,0.87094661
Upper_Lake,Natural,1,4,5.403,11441.60651,0.819132808
Upper_Lake,Natural,1,5,5.365,5616.775396,0.874918461
Upper_Lake,Natural,1,6,2.635,2386.337761,0.899317406
Upper_Lake,Natural,1,7,5.311,8109.207306,0.860220279
Upper_Lake,Natural,1,8,5.325,6364.319249,0.883964143
Upper_Lake,Natural,1,9,2.568,2403.037383,0.917470525
Upper_Lake,Natural,1,10,2.612,3241.194487,0.914886165
Upper_Lake,Natural,2,1,2.586,9438.128384,0.833387045
Upper_Lake,Natural,2,2,2.554,9334.377447,0.831380208
Upper_Lake,Natural,2,3,2.536,8949.526814,0.840848806
Upper_Lake,Natural,2,4,2.571,6407.234539,0.831769654
Upper_Lake,Natural,2,5,5.245,5918.970448,0.869673354
Upper_Lake,Natural,2,6,2.646,8392.668178,0.834700315
Upper_Lake,Natural,2,7,2.537,10562.86953,0.794301816
Upper_Lake,Natural,2,8,2.535,6233.136095,0.926873857
Upper_Lake,Natural,2,9,2.535,4959.763314,0.932328062
Upper_Lake,Natural,2,10,2.681,7142.857143,0.810214566
Upper_Lake,Natural,3,1,5.605,14008.56378,0.771294895
Upper_Lake,Natural,3,2,5.418,7872.646733,0.848551292
Upper_Lake,Natural,3,3,5.351,8658.19473,0.822092487
Upper_Lake,Natural,3,4,5.448,12704.66226,0.767323944
Upper_Lake,Natural,3,5,5.404,7152.294597,0.84543179
Upper_Lake,Natural,3,6,5.357,7974.986,0.820996169
Upper_Lake,Natural,3,7,5.427,5546.71089,0.87012987
Upper_Lake,Natural,3,8,5.573,14763.68204,0.737657181
Upper_Lake,Natural,3,9,5.472,13379.38596,0.748666028
Upper_Lake,Natural,3,10,5.738,15093.76089,0.748695198
Kerwa_Dam,Roadside,1,1,5.369,2605.88564,0.859314981
Kerwa_Dam,Roadside,1,2,5.521,4031.51603,0.874267617
Kerwa_Dam,Roadside,1,3,5.264,3558.510638,0.827542839
Kerwa_Dam,Roadside,1,4,5.46,1230.586081,0.921674544
Kerwa_Dam,Roadside,1,5,5.517,3001.087548,0.898387885
Kerwa_Dam,Roadside,1,6,5.541,2099.621007,0.877295757
Kerwa_Dam,Roadside,1,7,5.503,1825.186262,0.912906437
Kerwa_Dam,Roadside,1,8,5.399,1125.94925,0.923221614
Kerwa_Dam,Roadside,1,9,5.384,1116.827637,0.905634987
Kerwa_Dam,Roadside,1,10,5.462,1198.095936,0.924352682
Kerwa_Dam,Roadside,2,1,5.208,2365.591398,0.908900524
Kerwa_Dam,Roadside,2,2,5.235,3007.831901,0.882204247
Kerwa_Dam,Roadside,2,3,5.404,4201.332346,0.880991197
Kerwa_Dam,Roadside,2,4,5.486,2043.018593,0.905878468
Kerwa_Dam,Roadside,2,5,5.456,1062.683284,0.917746005
Kerwa_Dam,Roadside,2,6,5.485,1959.708295,0.910071346
Kerwa_Dam,Roadside,2,7,5.523,3816.042006,0.887942122
Kerwa_Dam,Roadside,2,8,5.493,3693.792099,0.886969159
Kerwa_Dam,Roadside,2,9,5.466,1523.966337,0.921598381
Kerwa_Dam,Roadside,2,10,5.609,423.4266358,0.952615489
Kerwa_Dam,Roadside,3,1,5.256,2925.228311,1.032004712
Kerwa_Dam,Roadside,3,2,5.296,5259.252266,0.851310079
Kerwa_Dam,Roadside,3,3,5.091,2206.246317,0.948928239
Kerwa_Dam,Roadside,3,4,5.133,3882.914475,0.874893472
Kerwa_Dam,Roadside,3,5,4.905,2816.309888,0.911879532
Kerwa_Dam,Roadside,3,6,5.182,3583.365496,0.879050042
Kerwa_Dam,Roadside,3,7,5.181,3148.040919,0.905136268
Kerwa_Dam,Roadside,3,8,5.033,1663.421419,0.907500902
Kerwa_Dam,Roadside,3,9,5.362,1889.033943,0.904673528
Kerwa_Dam,Roadside,3,10,5.378,3765.898103,0.886288728
Kerwa_Dam,Abandoned,1,1,5.479,1991.421792,0.910889443
Kerwa_Dam,Abandoned,1,2,5.406,2639.844617,0.90735146
Kerwa_Dam,Abandoned,1,3,5.397,2410.969057,0.909811194
Kerwa_Dam,Abandoned,1,4,5.413,1639.571402,0.911893531
Kerwa_Dam,Abandoned,1,5,5.321,2398.797219,0.902629347
Kerwa_Dam,Abandoned,1,6,5.324,1436.701728,0.922863581
Kerwa_Dam,Abandoned,1,7,5.394,1683.722655,0.927282104
Kerwa_Dam,Abandoned,1,8,5.402,642.1695668,0.928178694
Kerwa_Dam,Abandoned,1,9,5.403,1758.282436,0.927076184
Kerwa_Dam,Abandoned,1,10,5.415,1175.992613,0.926591376
Kerwa_Dam,Abandoned,2,1,5.664,4839.336158,0.896770108
Kerwa_Dam,Abandoned,2,2,5.487,2665.573173,0.902615562
Kerwa_Dam,Abandoned,2,3,5.553,1880.244913,0.912122208
Kerwa_Dam,Abandoned,2,4,5.487,1962.274467,0.921875
Kerwa_Dam,Abandoned,2,5,5.497,1317.627797,0.919384512
Kerwa_Dam,Abandoned,2,6,5.463,1928.061505,0.912172316
Kerwa_Dam,Abandoned,2,7,5.494,2036.039316,0.915209062
Kerwa_Dam,Abandoned,2,8,5.383,809.3999628,0.921115674
Kerwa_Dam,Abandoned,2,9,5.461,2314.41128,0.90428879
Kerwa_Dam,Abandoned,2,10,5.513,1918.011972,0.921136174
Kerwa_Dam,Abandoned,3,1,5.241,1556.38237,0.917060367
Kerwa_Dam,Abandoned,3,2,5.483,4360.569032,0.869489375
Kerwa_Dam,Abandoned,3,3,4.402,3708.314403,0.731593818
Kerwa_Dam,Abandoned,3,4,5.371,1400.670266,0.93376217
Kerwa_Dam,Abandoned,3,5,5.442,3013.414186,0.897279472
Kerwa_Dam,Abandoned,3,6,5.412,3678.677014,0.805956813
Kerwa_Dam,Abandoned,3,7,5.296,1615.181269,0.917056277
Kerwa_Dam,Abandoned,3,8,5.324,1010.330579,0.923343739
Kerwa_Dam,Abandoned,3,9,5.429,1602.689261,0.937327348
Kerwa_Dam,Abandoned,3,10,5.396,1818.013343,0.933079716
Kerwa_Dam,Natural,1,1,5.334,3189.163855,0.897828648
Kerwa_Dam,Natural,1,2,5.206,5364.003073,0.884021056
Kerwa_Dam,Natural,1,3,5.153,4222.394722,0.891676761
Kerwa_Dam,Natural,1,4,5.115,1590.224829,0.919964029
Kerwa_Dam,Natural,1,5,5.228,1841.813313,0.916067987
Kerwa_Dam,Natural,1,6,5.249,2208.230139,0.907974399
Kerwa_Dam,Natural,1,7,5.236,2122.039725,0.905255878
Kerwa_Dam,Natural,1,8,5.235,2344.221585,1.002681479
Kerwa_Dam,Natural,1,9,5.177,1283.755071,0.927611539
Kerwa_Dam,Natural,1,10,5.051,1751.138388,0.921043034
Kerwa_Dam,Natural,2,1,5.265,1183.475783,0.925632911
Kerwa_Dam,Natural,2,2,5.327,933.9215318,0.926273692
Kerwa_Dam,Natural,2,3,5.388,2074.053452,0.915859255
Kerwa_Dam,Natural,2,4,5.295,1678.375826,0.918314256
Kerwa_Dam,Natural,2,5,5.399,1031.116873,0.930541193
Kerwa_Dam,Natural,2,6,5.36,2807.276119,0.908012875
Kerwa_Dam,Natural,2,7,5.138,121.0587777,0.90029788
Kerwa_Dam,Natural,2,8,5.385,367.3166202,0.931177589
Kerwa_Dam,Natural,2,9,5.477,2740.91656,0.912833333
Kerwa_Dam,Natural,2,10,5.32,922.1804511,0.925539318
Hathaikheda_Dam,Roadside,1,1,5.359,1783.355104,0.917322835
Hathaikheda_Dam,Roadside,1,2,5.358,2129.152669,0.911069546
Hathaikheda_Dam,Roadside,1,3,5.298,1341.449604,0.922193211
Hathaikheda_Dam,Roadside,1,4,5.213,1619.604834,0.913279608
Hathaikheda_Dam,Roadside,1,5,5.421,3109.573879,0.901846615
Hathaikheda_Dam,Roadside,1,6,5.328,1375.563063,0.921321114
Hathaikheda_Dam,Roadside,1,7,5.428,2298.084009,0.906934002
Hathaikheda_Dam,Roadside,1,8,5.225,1796.937799,0.908537646
Hathaikheda_Dam,Roadside,1,9,5.293,717.5514831,0.934498588
Hathaikheda_Dam,Roadside,1,10,5.31,1497.175141,0.914413639
Hathaikheda_Dam,Roadside,2,1,5.267,1244.731346,0.937021882
Hathaikheda_Dam,Roadside,2,2,5.349,1860.160778,0.926073407
Hathaikheda_Dam,Roadside,2,3,5.253,2031.60099,0.92238806
Hathaikheda_Dam,Roadside,2,4,5.367,2295.69592,0.919794344
Hathaikheda_Dam,Roadside,2,5,5.289,2754.584988,0.913787146
Hathaikheda_Dam,Roadside,2,6,5.354,1627.381397,0.926297578
Hathaikheda_Dam,Roadside,2,7,5.305,1070.68803,0.938605803
Hathaikheda_Dam,Roadside,2,8,5.245,775.4051478,0.946409239
Hathaikheda_Dam,Roadside,2,9,5.25,668,0.955587914
Hathaikheda_Dam,Roadside,2,10,5.272,722.1168437,0.960466387
Hathaikheda_Dam,Roadside,3,1,5.47,2336.380256,0.946039433
Hathaikheda_Dam,Roadside,3,2,5.509,6951.352333,0.838380764
Hathaikheda_Dam,Roadside,3,3,5.451,1857.824252,0.943242776
Hathaikheda_Dam,Roadside,3,4,5.492,5603.423161,0.888241954
Hathaikheda_Dam,Roadside,3,5,5.491,4409.397195,0.880956201
Hathaikheda_Dam,Roadside,3,6,5.154,5649.010477,0.861009021
Hathaikheda_Dam,Roadside,3,7,5.363,2607.86873,0.929785021
Hathaikheda_Dam,Roadside,3,8,5.4,3395.925926,0.924182783
Hathaikheda_Dam,Roadside,3,9,5.46,2886.630037,0.924483576
Hathaikheda_Dam,Roadside,3,10,5.329,2292.73785,0.946536412
Hathaikheda_Dam,Abandoned,1,1,5.245,2568.541468,0.892462141
Hathaikheda_Dam,Abandoned,1,2,5.424,2993.362832,0.888888889
Hathaikheda_Dam,Abandoned,1,3,5.11,2951.46771,0.885001732
Hathaikheda_Dam,Abandoned,1,4,5.421,1879.726988,0.906218656
Hathaikheda_Dam,Abandoned,1,5,5.428,2799.189388,0.89188301
Hathaikheda_Dam,Abandoned,1,6,5.373,7213.660897,0.810162847
Hathaikheda_Dam,Abandoned,1,7,5.286,2303.632236,0.913900415
Hathaikheda_Dam,Abandoned,1,8,5.456,4617.302053,0.869205034
Hathaikheda_Dam,Abandoned,1,9,5.336,2827.023988,0.90671198
Hathaikheda_Dam,Abandoned,1,10,5.461,2444.607215,0.911686144
Hathaikheda_Dam,Abandoned,2,1,5.36,3293.843284,0.89917799
Hathaikheda_Dam,Abandoned,2,2,4.696,4479.131175,0.765070055
Hathaikheda_Dam,Abandoned,2,3,5.347,3442.117075,0.886733002
Hathaikheda_Dam,Abandoned,2,4,5.432,2423.048601,0.90473018
Hathaikheda_Dam,Abandoned,2,5,5.27,1679.127135,0.916521739
Hathaikheda_Dam,Abandoned,2,6,5.333,2429.214326,0.901911043
Hathaikheda_Dam,Abandoned,2,7,5.421,1889.688249,0.913395114
Hathaikheda_Dam,Abandoned,2,8,5.394,2214.312199,0.909612142
Hathaikheda_Dam,Abandoned,2,9,5.324,1079.827198,0.941967445
Hathaikheda_Dam,Abandoned,2,10,5.408,1688.239645,0.933057281
Hathaikheda_Dam,Abandoned,3,1,5.502,4506.179571,0.90359665
Hathaikheda_Dam,Abandoned,3,2,5.389,3585.451846,0.915251359
Hathaikheda_Dam,Abandoned,3,3,5.394,2025.954765,0.940540541
Hathaikheda_Dam,Abandoned,3,4,5.343,1832.303949,0.941331924
Hathaikheda_Dam,Abandoned,3,5,5.385,3737.975859,0.913176191
Hathaikheda_Dam,Abandoned,3,6,5.349,2290.334642,0.933182135
Hathaikheda_Dam,Abandoned,3,7,5.394,2052.09492,0.936133287
Hathaikheda_Dam,Abandoned,3,8,5.367,2206.446805,0.940753725
Hathaikheda_Dam,Abandoned,3,9,5.22,2030.651341,0.911949686
Hathaikheda_Dam,Abandoned,3,10,5.425,2990.046083,0.93373494
Hathaikheda_Dam,Natural,1,1,5.469,6598.829768,0.775854731
Hathaikheda_Dam,Natural,1,2,5.249,5413.221566,0.832910187
Hathaikheda_Dam,Natural,1,3,5.314,2333.458788,0.892959167
Hathaikheda_Dam,Natural,1,4,5.368,3856.184799,0.881879415
Hathaikheda_Dam,Natural,1,5,5.399,5629.37581,0.832151665
Hathaikheda_Dam,Natural,1,6,5.264,1899.886018,0.909467865
Hathaikheda_Dam,Natural,1,7,5.383,4267.323054,0.856483691
Hathaikheda_Dam,Natural,1,8,5.455,5252.978918,0.846786712
Hathaikheda_Dam,Natural,1,9,5.382,2775.548123,0.88680178
Hathaikheda_Dam,Natural,1,10,5.43,6431.307551,0.844216418
Hathaikheda_Dam,Natural,2,1,5.263,2001.140034,0.940997676
Hathaikheda_Dam,Natural,2,2,5.327,2167.636568,0.907959775
Hathaikheda_Dam,Natural,2,3,5.311,2221.992092,0.926391069
Hathaikheda_Dam,Natural,2,4,5.276,2142.342684,0.881242693
Hathaikheda_Dam,Natural,2,5,5.252,2149.086062,0.915301499
Hathaikheda_Dam,Natural,2,6,5.269,1081.609414,0.911276375
Hathaikheda_Dam,Natural,2,7,5.309,2336.598229,0.905354707
Hathaikheda_Dam,Natural,2,8,5.268,1509.681093,0.913631634
Hathaikheda_Dam,Natural,2,9,5.393,9.08585203,0.917020915
Hathaikheda_Dam,Natural,2,10,5.237,1175.673095,0.891100902
Hathaikheda_Dam,Natural,3,1,5.327,3376.009011,0.922104899
Hathaikheda_Dam,Natural,3,2,5.301,1712.884361,0.899847225
Hathaikheda_Dam,Natural,3,3,5.362,2765.38605,0.908197832
Hathaikheda_Dam,Natural,3,4,5.348,3693.717277,0.887340302
Hathaikheda_Dam,Natural,3,5,5.412,2644.124169,0.898406375
Hathaikheda_Dam,Natural,3,6,5.33,3415.572233,0.894595502
Hathaikheda_Dam,Natural,3,7,5.301,1154.499151,0.927072403
Hathaikheda_Dam,Natural,3,8,5.34,2188.764045,0.918156809
Hathaikheda_Dam,Natural,3,9,5.34,1889.513109,0.914227016
Hathaikheda_Dam,Natural,3,10,5.309,2993.407421,0.915818527